,speaker,words,tags
,Emilio,: I've been at CA since sixth grade. I'm a current senior.,
,Yahaira,: Tell me a little bit about yourself and what do you do? Who are you?,
,Emilio,: That's a great question.,
,Yahaira,: Just tell me a little bit about yourself.,
,Emilio,": Well, I grew up in Denver, a neighborhood called Westwood. I've played sports since I was young. I've always loved basketball, soccer, and anything creative really. I got into photography during high school year and I'm going to go to Boston for college next year.",
,Yahaira,": So you said you've been at CA since sixth grade? What is that, seven years?",
,Emilio,: Yeah seven years.,
,Yahaira,: What made you want to go to a private school?,motiv
,Emilio,": Honestly, it was because of my sister and brother. My parents wanted to put me somewhere where I can have a guaranteed chance at college or something after high school. So it was more about having good educational opportunities because my sister and brother went to CA before me and my sister went to a prestigious college on the east coast*. So they thought that was a good way to give me a better chance after high school.",motiv
,Yahaira,": Was CA your only option, was it the only school you applied to? That was where you were going to go?",
,Emilio,": Yeah, that was the only private school I applied to, and it also helped because my brother and sister went there and I had a better chance of going. I didn't apply to any other private schools because I didn't have any other connection to them.",
,Yahaira,": When your sister first applied, did your parents choose that for her? When did she start? ",
,Emilio,": Middle school. So actually it was a teacher at her elementary school*. She was really ahead of her class and [her teacher] was like, ""Yeah, she needs to go somewhere where she can actually grow and not be limited by opportunities."" So she recommended CA beacuse she knew some other kid went there, so they went to go visit and she actually applied for fifth grade, but they didn't have all the financial aid stuff. So then they applied the next year, and she got in.",
,Yahaira,": Do you feel like it was kind of a similar case for you? Like you were just ahead of your class as well, on top of the fact that your siblings went there and it was going to give you good opportunities after high school?",
,Emilio,": Yeah. I mean, most of elementary, I was mostly ahead of the class and my parents saw that and I think they were going to make me or not make me, but have me go to CA regardless.",
,Yahaira,": When you first attended CA, did you like it?",in
,Emilio,": When I first got there in sixth grade, honestly, I didn't like it that much. It was kind of weird. It was a new environment. It was weird making friends and trying to connect with different people, and it was also middle school, so there was like 65 kids and everyone already had their groups and everything, so it was kind of weird going in.",in
,Yahaira,": Would you say it was a harsh transition? I know your elementary school is predominantly Hispanic, so going into CA, what were some of, I don't know if you remember, but what are some of the feelings that you felt?",in
,Emilio,": I was really nervous on the first day, first week, honestly, the first couple of weeks were the hardest. After a while I got to know people, but it was definitely a weird transition. There was only three Hispanic kids. Me, one other person, and that might've been it.",in;exp
,Yahaira,: Just two of you.,exp
,Emilio,: It might've been just two of us.,exp
,Yahaira,: Was he one of your first friends?,exp
,Emilio,: Yeah.,exp
,Yahaira,: What drew you to be friends with him? Anything specific?,exp
,Emilio,": Well, actually I was his host.",exp
,Yahaira,": Oh, really?",exp
,Emilio,: Which was weird because I was a new kid.,exp
,Yahaira,": Yeah, I was going to say, usually hosts are someone who's already at CA.",exp
,Emilio,": It's almost always someone at CA, but because I had two siblings that already went there, they thought,""Alright, are you ready to host someone?"" Which I was annoyed about.",exp
,Yahaira,: I would've been annoyed too.,exp
,Emilio,": I mean, it worked out.",exp
,Yahaira,": Did you feel like you had, within your siblings, did they ever prepare you for anything?",
,Emilio,": Honestly, no. They kind of just let me go in and figure it out. They didn't have any big advice from me. They just said, ""You'll find a group of people that you like. School isn't, middle school's not going to be that hard.""",exp
,Yahaira,": Do you wish they had given you a little bit more, set you up for what it was going to be like?",
,Emilio,": Honestly, any advice they would've given me probably wouldn't have helped me at all. I was going to end up where I was supposed to be or be friends with who I'm supposed to be.",
,Yahaira,: Despite what they said.,
,Emilio,": Yeah, I think that's the whole reason they didn't give me advice. They didn't want me to go in and feel like I have to do something specific to fit in or something.",
,Yahaira,": So now as a senior and you're graduating and leaving in a couple months, do you feel like you've gotten what you wanted out of CA?",out
,Emilio,": I feel like on paper I have. The whole reason I went to CA was to go to college and hopefully be debt free when it comes to education. I feel like I accomplished that. And another secondary thing was meeting new people and just having connections that will last outside of high school. I feel like I've accomplished that. I feel like I've met friends that I know I can count on or be friends with outside of high school. And it's almost just been a good preparation for college. I feel like all the class rigor, having to talk to teachers or connect with teachers, they've given me a lot of things I can take into college, which I feel like that's what I was looking for mainly.",out;exp
,Yahaira,": Do you feel nervous at all going into a different school, having to meet new people? I know that you've been here for seven years at CA, and these people have known you for a really long time, so it's not going to be the same going into a new place.",out
,Emilio,": At first I was pretty nervous, but for the school I'm goint to the scholarship I got, it's like 15 kids and it's all first gen students. So last week I got to meet all the students, which was a lot more relieving, having people that share the same story as you, same background, same difficulties. So I feel like it'll make the transition easier for me knowing people, being able to branch out, and I'm also going a month early, so it's going to be a long orientation. We're going to do a bunch of events and activities. It's just kind of sad that I'm leaving a month early, but it'll make the transition easier.",out;aff
,Yahaira,": Do you ever feel like you had that same thing here at CA? Like having people, a space where you knew people of similar backgrounds and it would've just made it easier?",aff;exp
,Emilio,": Yeah, I mean, there's a lot of spaces you can go to and I already knew most people in the spaces, so I always talk to them and being really good friends with Javier, I always had someone to talk to if I ever had any issues about, I don't know, someone said this or...",aff;suppin
,Yahaira,: Situations specific to your experience with your race?,
,Emilio,: Yeah.,
,Yahaira,: Do you feel like you took advantage of those spaces?,
,Emilio,": I don't think I took as much advantage as I could have. I feel like I could have connected with more people and talked to more people in those spaces, and I don't know if, I wouldn't say I regret anything from high school, but I wish I would've done that differently.",aff;exp
,Yahaira,: What do you think that would've helped you with?,aff;exp
,Emilio,": Honestly, probably just connecting with more people. Probably meeting people with similar experience or just, I don't know, having common ground with different people.",aff;exp
,Yahaira,: Was there any reason why you didn't?,
,Emilio,: I can't pinpoint an exact reason. I feel like I already had a group of people that I would always hang out with.,
,Yahaira,": You had what you needed, you didn't need more?",
,Emilio,: Yeah. I don't know. I felt too comfortable in my group that I never felt the need to have to go to these spaces.,exp
,Yahaira,: But do you think in college that'll be different?,
,Emilio,": Yeah, I think so.",
,Yahaira,: You're going to try to seek that out?,
,Emilio,": Yeah. I feel like in college you look for people who have commonalities. I feel like that's where you're going to connect with the most. At CA, I had commonalities with most of my friends, but I already had a group of friends, I already had this group of people that I was with. I feel like it would be different in college too.",aff;out;suppin
